,ticker,name,sector,asset_class,market_value,weight,notional_value,shares,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etfname,date
6720,G1A,GEA GROUP AG,Industrials,Equity,"21,488,444.64",0.04,"21,488,444.64","515,606.00",41.68,Germany,Xetra,USD,0.92,EUR,-,EFA,20240612
6721,RXL,REXEL SA,Industrials,Equity,"21,420,979.22",0.04,"21,420,979.22","719,657.00",29.77,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240612
6722,5201,AGC INC,Industrials,Equity,"21,400,622.61",0.04,"21,400,622.61","622,500.00",34.38,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6723,3402,TORAY INDUSTRIES INC,Materials,Equity,"21,299,584.65",0.04,"21,299,584.65","4,370,300.00",4.87,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6724,ELISA,ELISA,Communication,Equity,"21,208,644.31",0.04,"21,208,644.31","453,845.00",46.73,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.92,EUR,-,EFA,20240612
6725,7911,TOPPAN HOLDINGS INC,Industrials,Equity,"21,076,046.73",0.04,"21,076,046.73","757,100.00",27.84,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6726,REA,REA GROUP LTD,Communication,Equity,"21,013,094.77",0.04,"21,013,094.77","168,625.00",124.61,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6727,WISE,WISE PLC CLASS A,Financials,Equity,"20,987,349.54",0.04,"20,987,349.54","1,937,718.00",10.83,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6728,LIFCO B,LIFCO CLASS B,Industrials,Equity,"20,978,643.01",0.04,"20,978,643.01","734,634.00",28.56,Sweden,Nasdaq Omx Nordic,USD,10.30,SEK,-,EFA,20240612
6729,GBLB,GROUPE BRUXELLES LAMBERT NV,Financials,Equity,"20,863,710.08",0.04,"20,863,710.08","278,144.00",75.01,Belgium,Nyse Euronext - Euronext Brussels,USD,0.92,EUR,-,EFA,20240612
6730,PLS,PILBARA MINERALS LTD,Materials,Equity,"20,820,641.00",0.04,"20,820,641.00","9,123,287.00",2.28,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6731,CPR,DAVIDE CAMPARI MILANO NV,Consumer Staples,Equity,"20,808,233.95",0.04,"20,808,233.95","1,946,673.00",10.69,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240612
6732,1801,TAISEI CORP,Industrials,Equity,"20,713,957.44",0.04,"20,713,957.44","547,900.00",37.81,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6733,4612,NIPPON PAINT HOLDINGS LTD,Materials,Equity,"20,579,237.46",0.04,"20,579,237.46","2,992,200.00",6.88,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6734,TWE,TREASURY WINE ESTATES LTD,Consumer Staples,Equity,"20,497,284.55",0.04,"20,497,284.55","2,565,096.00",7.99,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6735,6586,MAKITA CORP,Industrials,Equity,"20,492,132.61",0.04,"20,492,132.61","702,900.00",29.15,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6736,KGF,KINGFISHER PLC,Consumer Discretionary,Equity,"20,341,714.08",0.04,"20,341,714.08","6,018,936.00",3.38,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6737,BEIJ B,BEIJER REF CLASS B,Industrials,Equity,"20,329,559.08",0.04,"20,329,559.08","1,213,103.00",16.76,Sweden,Nasdaq Omx Nordic,USD,10.30,SEK,-,EFA,20240612
6738,OMV,OMV AG,Energy,Equity,"20,318,337.70",0.04,"20,318,337.70","463,636.00",43.82,Austria,Wiener Boerse Ag,USD,0.92,EUR,-,EFA,20240612
6739,1878,DAITO TRUST CONSTRUCTION LTD,Real Estate,Equity,"20,276,517.22",0.04,"20,276,517.22","190,300.00",106.55,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6740,TEP,TELEPERFORMANCE,Industrials,Equity,"20,111,737.41",0.04,"20,111,737.41","184,942.00",108.75,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240612
6741,BARN,BARRY CALLEBAUT AG,Consumer Staples,Equity,"20,036,044.45",0.04,"20,036,044.45","11,384.00","1,760.02",Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
